q6000.1	q1010.1	q1020.1	q1030.1	q1050.1	q1070.1	q6000.1	q6000.1	q1090.1	q6000.1	q6000.1	q1120.1	q6000.1	q1130.1	q6000.1	q1140.1	q6000.1	q1160.1	q1170.1	q1180.1	q6000.1	q1190.1	q1200.1	q6000.1	q6000.1	q6000.1	q7000.1	q7000.1	q7000.1	q7000.1	q7000.1	q7000.1	q7000.1	q7000.1	q7000.1	q7000.1	q2010.1	q2020.1	q2030.1	q2040.1	q2050.1	q4010.1	q4020.1	q5010.1	q5020.1	q5030.1	q5040.1	q3030.1	q0	q6000.1	q6000.1	q2250.1	q2170.1	q2160.1	q2230.1	q2110.1	q2220.1	q3010.1	q3020.1	q9999	q9999	q2280.1
q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q1010.2	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q0	q0	q0	q0	q9999	q9999	q0	q9999	q0	q9999	q0	q9999	q6000.0	q6000.1	q6000.1	q9999	q0	q0	q9999	q9999	q9999	q6000.0	q6000.0	q9999	q9999	q9999
q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q1010.3	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q0	q0	q0	q0	q9999	q9999	q0	q9999	q0	q9999	q0	q9999	q6000.0	q6000.1	q6000.1	q9999	q0	q0	q9999	q9999	q9999	q6000.0	q6000.0	q9999	q9999	q9999
q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q1010.4	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q0	q0	q0	q0	q9999	q9999	q0	q9999	q0	q9999	q0	q9999	q6000.0	q6000.1	q6000.1	q9999	q0	q0	q9999	q9999	q9999	q6000.0	q6000.0	q9999	q9999	q9999
q6000.1	q6000.1	q6000.1	q6000.1	q1010.5	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q0	q0	q0	q0	q9999	q9999	q0	q9999	q0	q9999	q0	q9999	q6000.0	q6000.1	q6000.1	q9999	q0	q0	q9999	q9999	q9999	q6000.0	q6000.0	q9999	q9999	q9999
q1010.6	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q0	q0	q0	q0	q9999	q9999	q0	q9999	q0	q9999	q0	q9999	q6000.0	q6000.1	q6000.1	q9999	q0	q0	q9999	q9999	q9999	q6000.0	q6000.0	q9999	q9999	q9999
q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q1010.7	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q0	q0	q0	q0	q9999	q9999	q0	q9999	q0	q9999	q0	q9999	q6000.0	q6000.1	q6000.1	q9999	q0	q0	q9999	q9999	q9999	q6000.0	q6000.0	q9999	q9999	q9999
q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q0	q0	q0	q0	q9999	q9999	q0	q9999	q0	q9999	q0	q9999	q1010.0	q6000.1	q6000.1	q9999	q0	q0	q9999	q9999	q9999	q1010.0	q1010.0	q9999	q9999	q9999
q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q1020.2	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q0	q0	q0	q0	q9999	q9999	q0	q9999	q0	q9999	q0	q9999	q6000.0	q6000.1	q6000.1	q9999	q0	q0	q9999	q9999	q9999	q6000.0	q6000.0	q9999	q9999	q9999
q1020.3	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q0	q0	q0	q0	q9999	q9999	q0	q9999	q0	q9999	q0	q9999	q6000.0	q6000.1	q6000.1	q9999	q0	q0	q9999	q9999	q9999	q6000.0	q6000.0	q9999	q9999	q9999
q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q1020.4	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q6000.1	q0	q0	q0	q0	q9999	q9999	q0	q9999	q0	q9999	q0	q9999	q6000.0	q6000.1	q6000.1	q9999	q0	q0	q9999	q9999	q9999	q6000.0	q6000.0	q9999	q9999	q9999
